ID Produktu,Nazwa Produktu,Lokacja,Ilość
035,Roos Cookies,H403A02,12
065,KettleB,H306A01,17
481,Atomos,H205A10,11
141,Walking Cheeseburger,H407A08,15
418,Smolons,H104A13,2
361,Mali O,H307A08,3
292,Wadowmy,H401A04,4
019,Pangles Creme,H203A13,5
232,Mayre,H505A08,2
188,Pickly,H202A16,5
296,Stax Prawn,H407A07,2
493,Okloso,H503A13,5
230,Dos,H404A06,5
333,Zetsy,H201A14,9
448,Cramptions,H302A14,7
363,Katnes,H202A08,6
133,Prangles Hot,H501A09,1
339,Lisuma,H401A10,1
270,Tiffau,H304A11,6
088,Coalway Plax,H103A11,3
163,Toblo,H205A15,2
