ID Produktu,Nazwa Produktu,Lokacja,Ilość
369,Sma Mus,H504A06,3
395,Sosolo,H204A03,18
202,Walking Pens,H203A01,22
428,Pianto,H205A09,2
366,Yerpos,H506A02,3
293,Larum,H502A10,2
270,Tiffau,H304A11,1
163,Toblo,H205A15,2
046,Linot,H502A12,3
007,Catten,H207A12,7
211,Maton,H307A03,2
460,Bonomo,H103A06,9
062,Ments,H107A08,8
317,Gofru,H301A09,3
267,Mamrs,H201A05,9
081,Fairytail,H206A13,6
343,Tnatoms,H506A07,3
116,PanProno,H503A14,2
499,Mumicro,H106A01,7
365,Ram Pen,H201A09,4
453,Demo Strips,H101A09,1
